commit	phase	score	word_count	status	description
	foundation	5.0	0	keep	Iteration 1: score improved 0.0 -> 5.0
discarded	foundation	5.0	0	discard	Iteration 2: no improvement (5.0 <= 5.0)
discarded	foundation	0.0	0	discard	Iteration 3: no improvement (0.0 <= 5.0)
discarded	foundation	4.0	0	discard	Iteration 4: no improvement (4.0 <= 5.0)
c7b2e3e	foundation	8.0	0	keep	Iteration 1: score improved 0.0 -> 8.0
bce5564	ch01	7.0	2425	keep	Chapter 1 (attempt 1)
bd1c46b	ch02	7.0	2676	keep	Chapter 2 (attempt 1)
2b0db73	ch03	7.0	2634	keep	Chapter 3 (attempt 1)
d421c8a	ch04	6.7	2593	keep	Chapter 4 (attempt 1)
4f63680	ch05	7.0	2127	keep	Chapter 5 (attempt 1)
7cd7c17	ch06	7.0	1576	keep	Chapter 6 (attempt 1)
eeba891	ch07	7.0	2004	keep	Chapter 7 (attempt 1)
4d83ea6	ch08	8.0	2355	keep	Chapter 8 (attempt 1)
f63cbbc	ch09	6.8	2468	keep	Chapter 9 (attempt 1)
65eaf4a	ch10	8.0	2423	keep	Chapter 10 (attempt 1)
discarded	ch11	5.5	3023	discard	Chapter 11 attempt 1
c2cee3f	ch11	7.0	2550	keep	Chapter 11 (attempt 2)
49d85ec	ch12	7.0	2349	keep	Chapter 12 (attempt 1)
6398b7a	revision-cycle-1	7.0	28180	cycle	Cycle 1: novel_score 0.0->7.0
